iter	Passed	Remaining
0	0	76
1	1	79
2	2	76
3	2	71
4	3	69
5	4	66
6	4	64
7	5	62
8	6	61
9	6	59
10	7	59
11	8	59
12	9	60
13	9	60
14	10	59
15	11	58
16	11	56
17	12	55
18	12	54
19	13	54
20	14	53
21	14	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	47
28	19	47
29	19	46
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	38
41	27	37
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	53	11
82	53	10
83	54	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
